lastName,email,address,city,state,zip
Charlie,charlie@gmail.com,39 st,NY,NY,99564
Smith,smith@yahoo.com,9 st,CHI,TX,99115
Nick,nick@outlook.com,84 st,CHI,NY,99379
HeidiHH,heidi@test.com,46 st,CHI,TX,99814
DavidD,david@test.com,24 st,SF,NY,99032
Eve,eve@test.com,97 st,SEA,CA,99753
Alice,alice@yahoo.com,32 st,LA,NY,99203
Bob,bob@gmail.com,73 st,SEA,CA,99910
Bob,bob@gmail.com,61 st,SEA,WA,99162
David,david@test.com,13 st,LA,UK,99979
Heidi,heidi@gmail.com,41 st,SF,CA,99544
Jhon,jhon@outlook.com,57 st,TX,TX,99638
DavidV,david@yahoo.com,16 st,LA,NY,99394
