lastName,email,address,city,state,zip
Charlie,charlie@gmail.com,39 st,NY,NY,99564
Smith,smith@yahoo.com,9 st,CHI,TX,99115
Nick,nick@outlook.com,84 st,CHI,NY,99379
Heidi,heidi@test.com,46 st,CHI,TX,99814
David,david@test.com,24 st,SF,NY,99032
Eve,eve@test.com,97 st,SEA,CA,99753
Alice,alice@yahoo.com,32 st,LA,NY,99203
Bob,bob@gmail.com,73 st,SEA,CA,99910
Bob,bob@gmail.com,61 st,SEA,WA,99162
Nick,nick@outlook.com,34 st,WH,CA,99106
David,david@test.com,13 st,LA,UK,99979
Heidi,heidi@gmail.com,41 st,SF,CA,99544
Jhon,jhon@outlook.com,57 st,TX,TX,99638
David,david@yahoo.com,16 st,LA,NY,99394
Alice,alice@gmail.com,97 st,LA,CA,99554
Charlie,charlie@outlook.com,38 st,CHI,WA,99505
Nick,nick@yahoo.com,70 st,NY,UK,99100
Grace,grace@outlook.com,84 st,SEA,TX,99330
Bob,bob@test.com,2 st,WH,NY,99991
David,david@yahoo.com,13 st,NY,UK,99503
Grace,grace@outlook.com,84 st,SEA,TX,99330
Nick,nick@yahoo.com,70 st,NY,UK,99100
Heidi,heidi@gmail.com,41 st,SF,CA,99544
Bob,bob@gmail.com,61 st,SEA,WA,99162
David,david@test.com,24 st,SF,NY,99032
Eve,eve@test.com,97 st,SEA,CA,99753
Jhon,jhon@outlook.com,57 st,TX,TX,99638
Charlie,charlie@outlook.com,38 st,CHI,WA,99505
Nick,nick@yahoo.com,70 st,NY,UK,99100
Nick,nick@outlook.com,34 st,WH,CA,99106
Smith,smith@yahoo.com,9 st,CHI,TX,99115
Alice,alice@gmail.com,97 st,LA,CA,99554
Charlie,charlie@outlook.com,38 st,CHI,WA,99505
David,david@test.com,13 st,LA,UK,99979
Nick,nick@outlook.com,34 st,WH,CA,99106
Grace,grace@outlook.com,84 st,SEA,TX,99330
Grace,grace@outlook.com,84 st,SEA,TX,99330
Charlie,charlie@outlook.com,38 st,CHI,WA,99505
Charlie,charlie@outlook.com,38 st,CHI,WA,99505
David,david@yahoo.com,13 st,NY,UK,99503
Heidi,heidi@gmail.com,41 st,SF,CA,99544
David,david@yahoo.com,13 st,NY,UK,99503
Bob,bob@test.com,2 st,WH,NY,99991
Charlie,charlie@gmail.com,39 st,NY,NY,99564
David,david@test.com,24 st,SF,NY,99032
Eve,eve@test.com,97 st,SEA,CA,99753
Smith,smith@yahoo.com,9 st,CHI,TX,99115
Grace,grace@outlook.com,84 st,SEA,TX,99330
Alice,alice@yahoo.com,32 st,LA,NY,99203
Eve,eve@test.com,97 st,SEA,CA,99753
Eve,eve@test.com,97 st,SEA,CA,99753
Alice,alice@yahoo.com,32 st,LA,NY,99203
Charlie,charlie@outlook.com,38 st,CHI,WA,99505
Alice,alice@yahoo.com,32 st,LA,NY,99203
David,david@test.com,24 st,SF,NY,99032
David,david@yahoo.com,16 st,LA,NY,99394
Jhon,jhon@outlook.com,57 st,TX,TX,99638
Grace,grace@outlook.com,84 st,SEA,TX,99330
Grace,grace@outlook.com,84 st,SEA,TX,99330
Charlie,charlie@gmail.com,39 st,NY,NY,99564
Grace,grace@outlook.com,84 st,SEA,TX,99330
David,david@yahoo.com,13 st,NY,UK,99503
Bob,bob@gmail.com,61 st,SEA,WA,99162
Alice,alice@yahoo.com,32 st,LA,NY,99203
Alice,alice@yahoo.com,32 st,LA,NY,99203
Alice,alice@gmail.com,97 st,LA,CA,99554
Bob,bob@gmail.com,73 st,SEA,CA,99910
Bob,bob@gmail.com,61 st,SEA,WA,99162
David,david@yahoo.com,16 st,LA,NY,99394
Charlie,charlie@gmail.com,39 st,NY,NY,99564
David,david@test.com,24 st,SF,NY,99032
Smith,smith@yahoo.com,9 st,CHI,TX,99115
Bob,bob@gmail.com,73 st,SEA,CA,99910
Grace,grace@outlook.com,84 st,SEA,TX,99330
David,david@yahoo.com,13 st,NY,UK,99503
Charlie,charlie@outlook.com,38 st,CHI,WA,99505
Heidi,heidi@gmail.com,41 st,SF,CA,99544
David,david@yahoo.com,13 st,NY,UK,99503
Alice,alice@yahoo.com,32 st,LA,NY,99203
David,david@test.com,13 st,LA,UK,99979
David,david@yahoo.com,13 st,NY,UK,99503
Nick,nick@outlook.com,34 st,WH,CA,99106
David,david@test.com,24 st,SF,NY,99032
Smith,smith@yahoo.com,9 st,CHI,TX,99115
David,david@test.com,24 st,SF,NY,99032
Heidi,heidi@gmail.com,41 st,SF,CA,99544
Grace,grace@outlook.com,84 st,SEA,TX,99330
Alice,alice@gmail.com,97 st,LA,CA,99554
Bob,bob@test.com,2 st,WH,NY,99991
Alice,alice@gmail.com,97 st,LA,CA,99554
Jhon,jhon@outlook.com,57 st,TX,TX,99638
Bob,bob@test.com,2 st,WH,NY,99991
Alice,alice@yahoo.com,32 st,LA,NY,99203
Alice,alice@yahoo.com,32 st,LA,NY,99203
Heidi,heidi@gmail.com,41 st,SF,CA,99544
Nick,nick@outlook.com,34 st,WH,CA,99106
Charlie,charlie@gmail.com,39 st,NY,NY,99564
Nick,nick@yahoo.com,70 st,NY,UK,99100
Nick,nick@outlook.com,34 st,WH,CA,99106
